Student_ID,Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Grade,Final_Score,Hours_Bucket,Anxiety_Bucket,Study_Efficiency,Academic_Risk_Index,Engagement_Index,Wellness_Score,Learning_Efficiency
STU00012,19,Male,4.66,83.5,7.1,9.4,4.8,2.95,Yes,Offline,Average,Excellent,Yes,2,Middle,4.2,B,74.7,4-6,Moderate (3-5),3.8911,0.2333333333333334,75.38,11.399999999999999,2.370172413793104
STU00013,18,Non-Binary,6.01,92.7,5.8,6.7,3.2,3.09,No,Hybrid,Average,Average,No,2,Low,6.8,B,76.46,6-8,High (5-7),5.57127,-0.6133333333333333,75.11000000000001,4.100000000000001,4.4216428571428565
STU00014,19,Male,5.1,62.9,7.7,4.8,0.5,3.49,Yes,Online,Good,Average,No,1,Low,4.6,A,86.11,4-6,Moderate (3-5),3.2079,-3.680000000000001,50.459999999999994,39.2,11.866
STU00015,22,Male,4.67,89.6,6.5,5.1,0.9,2.54,No,Online,Average,Excellent,Yes,2,Low,3.5,A,99.7,4-6,Moderate (3-5),4.18432,-1.9133333333333336,77.85,29.0,6.243052631578948
STU00016,18,Male,2.09,91.5,5.2,4.7,3.8,2.62,No,Offline,Good,Average,No,1,High,7.0,C,66.51,2-4,High (5-7),1.91235,-0.07333333333333325,52.870000000000005,7.5,1.1407916666666666
STU00017,19,Female,6.11,82.5,5.7,5.0,5.5,3.23,Yes,Online,Average,Poor,No,0,Low,3.2,A,87.87,6-8,Moderate (3-5),5.04075,-1.8933333333333335,51.33,22.4,3.0362000000000005
STU00018,21,Female,5.25,61.2,5.9,4.4,3.1,2.7,No,Hybrid,Average,Average,Yes,2,Middle,3.4,A,92.06,4-6,Moderate (3-5),3.213,-1.766666666666667,68.23,26.8,3.4573170731707323
STU00019,21,Female,5.55,72.9,8.0,4.9,4.2,3.59,Yes,Online,Good,Average,Yes,4,Middle,1.7,A,96.51,4-6,Low (1-3),4.04595,-3.5799999999999996,93.81,50.4,3.831634615384615
STU00020,24,Female,1.95,78.5,7.2,5.1,5.7,2.62,No,Hybrid,Average,Average,No,0,High,7.3,C,61.96,0-2,Very High (7-10),1.53075,0.7933333333333321,37.25,24.6,0.7625373134328358
STU00021,21,Male,8.3,82.8,6.5,10.0,3.0,3.42,No,Offline,Good,Poor,No,0,Low,4.6,A,87.96,8-12,Moderate (3-5),6.8724,-0.9733333333333327,58.019999999999996,1.200000000000001,7.096500000000001
STU00022,20,Female,5.31,67.6,7.0,3.5,3.9,3.45,No,Hybrid,Average,Good,Yes,1,Middle,6.0,A,85.08,4-6,High (5-7),3.589559999999999,-2.4333333333333336,60.97,34.5,3.7386734693877544
STU00023,17,Male,4.23,77.5,6.4,8.1,5.8,3.31,Yes,Offline,Good,Average,Yes,1,Middle,5.1,B,77.73,4-6,High (5-7),3.2782500000000003,-0.28666666666666707,61.69,8.200000000000001,2.0590147058823534
STU00024,21,Female,9.06,87.0,6.5,3.8,3.0,2.61,Yes,Offline,Good,Average,Yes,4,Middle,5.2,A,97.15,8-12,High (5-7),7.8822,-1.2199999999999998,109.98000000000002,30.4,5.91165
STU00025,18,Male,4.91,74.5,7.7,10.0,5.3,3.23,No,Offline,Poor,Excellent,Yes,3,Middle,3.5,B,81.12,4-6,Moderate (3-5),3.65795,-0.19333333333333336,82.53,16.5,2.5173492063492064
STU00026,24,Female,2.1,76.9,7.2,7.1,4.1,3.54,Yes,Online,Good,Good,No,2,Middle,6.8,B,70.5,2-4,High (5-7),1.6149,-1.08,57.06,16.1,1.4576470588235295
STU00027,21,Female,4.19,75.3,7.0,5.8,0.6,3.29,Yes,Offline,Average,Excellent,No,1,Low,3.7,A,85.69,4-6,Moderate (3-5),3.1550700000000003,-3.2133333333333334,52.690000000000005,29.9,8.6156875
STU00028,20,Female,0.42,65.8,6.9,4.2,6.3,3.64,No,Hybrid,Average,Good,No,2,Middle,5.4,C,68.32,0-2,High (5-7),0.27635999999999994,-1.9799999999999995,47.58,31.799999999999997,0.20942465753424658
STU00029,22,Female,7.1,76.4,6.5,4.2,3.8,2.58,No,Offline,Average,Average,No,1,Low,4.5,A,98.29,6-8,Moderate (3-5),5.4243999999999994,-0.9933333333333332,61.86,30.5,3.8162499999999997
STU00030,18,Male,4.17,77.8,7.8,5.2,4.5,2.97,No,Offline,Average,Good,Yes,2,High,8.4,B,76.03,4-6,Very High (7-10),3.24426,0.09333333333333371,71.63000000000001,26.799999999999997,2.2518
STU00031,20,Female,3.51,87.4,6.8,2.1,5.4,3.99,Yes,Offline,Good,Poor,No,3,Middle,5.0,A,92.76,2-4,Moderate (3-5),3.06774,-3.8133333333333335,75.49000000000001,42.5,2.1882656249999997
STU00032,22,Male,7.14,72.0,7.6,8.3,4.9,2.75,Yes,Hybrid,Poor,Poor,Yes,2,High,5.6,A,85.89,6-8,High (5-7),5.1408,0.7666666666666666,78.22,17.700000000000003,3.3279661016949147
STU00033,23,Female,1.7,66.9,4.9,2.8,3.7,2.34,No,Hybrid,Average,Good,No,2,Low,5.3,C,58.54,0-2,High (5-7),1.1373,-0.7466666666666661,51.86000000000001,19.1,0.8463829787234042
STU00034,23,Female,6.07,75.0,8.5,6.2,4.2,3.05,No,Offline,Average,Good,No,2,High,3.9,A,95.53,6-8,Moderate (3-5),4.5525,-1.333333333333333,68.21000000000001,42.3,3.5602884615384616
STU00035,18,Male,0.87,71.1,6.5,8.0,5.2,2.63,No,Hybrid,Average,Good,No,0,Middle,6.8,D,49.14875000000002,0-2,High (5-7),0.61857,1.4066666666666672,31.049999999999997,4.600000000000001,0.3690483870967742
STU00036,19,Non-Binary,3.68,85.5,5.7,2.2,8.0,3.09,Yes,Online,Average,Excellent,No,2,Low,7.7,C,65.93,2-4,Very High (7-10),3.1464,-0.21333333333333382,65.24000000000001,22.9,1.2634666666666667
STU00037,17,Female,2.59,74.3,7.9,3.4,3.5,3.54,Yes,Offline,Good,Average,No,2,High,3.4,A,96.23,2-4,Moderate (3-5),1.92437,-3.6466666666666665,57.489999999999995,51.8,2.0374666666666665
STU00038,24,Male,7.92,64.4,8.5,3.3,2.0,2.56,Yes,Offline,Average,Good,No,3,High,5.6,A,95.45,6-8,High (5-7),5.10048,-1.4866666666666672,79.52000000000001,51.7,6.758400000000001
STU00039,17,Female,8.53,85.9,8.3,7.7,4.1,2.76,No,Hybrid,Good,Good,No,4,High,1.7,A,95.86,8-12,Low (1-3),7.32727,-1.0199999999999996,99.95000000000002,39.4,4.616235294117646
STU00040,20,Male,4.34,79.2,7.8,6.7,3.9,1.93,No,Online,Average,Excellent,No,0,High,8.2,C,59.14,4-6,Very High (7-10),3.43728,2.406666666666666,44.7,19.900000000000002,1.709428571428571
STU00041,22,Female,6.68,81.7,7.0,5.3,5.8,2.51,No,Online,Good,Excellent,No,2,Low,2.6,A,90.89,6-8,Low (1-3),5.45756,-0.45333333333333314,72.72,35.7,2.4657058823529407
STU00042,17,Female,4.64,83.9,6.9,6.2,6.6,3.06,No,Hybrid,Good,Excellent,No,2,Middle,6.9,C,66.2,4-6,High (5-7),3.89296,0.4466666666666672,67.48,17.299999999999997,1.8682105263157895
STU00043,22,Non-Binary,6.14,90.5,8.7,2.8,3.6,3.02,No,Hybrid,Average,Average,No,3,Middle,2.3,A,96.49,6-8,Low (1-3),5.5567,-3.14,84.62,66.1,4.0310434782608695
STU00044,22,Female,3.49,70.8,6.6,4.6,4.2,2.62,No,Online,Average,Good,Yes,1,Low,5.7,B,77.71,2-4,High (5-7),2.47092,-0.4066666666666672,56.79,25.9,1.7584230769230769
STU00045,20,Male,1.58,86.1,7.8,4.9,6.6,3.25,No,Hybrid,Average,Average,Yes,0,High,4.0,C,67.78,0-2,Moderate (3-5),1.3603800000000001,-1.333333333333333,47.18,41.5,0.6756578947368421
STU00046,20,Female,1.39,80.6,8.3,7.9,2.9,4.0,Yes,Offline,Average,Average,No,1,Middle,5.9,B,84.67,0-2,High (5-7),1.12034,-2.4333333333333336,46.410000000000004,25.799999999999997,1.4256410256410257
STU00047,20,Male,5.77,80.5,8.1,2.2,0.5,3.39,Yes,Offline,Good,Excellent,No,1,High,5.5,A,86.1,4-6,High (5-7),4.64485,-4.046666666666667,59.510000000000005,53.5,13.040199999999999
STU00048,17,Female,9.5,78.9,4.6,3.6,5.0,3.71,No,Hybrid,Average,Poor,Yes,2,Middle,3.1,A,90.34,8-12,Moderate (3-5),7.495500000000001,-3.52,88.06,18.7,5.8741666666666665
STU00049,23,Female,5.54,75.3,7.0,5.3,5.4,3.23,Yes,Hybrid,Average,Excellent,No,2,Middle,4.8,A,90.81,4-6,Moderate (3-5),4.17162,-1.293333333333333,66.74000000000001,29.1,2.79596875
STU00050,20,Male,3.95,82.0,4.3,5.7,5.1,2.64,No,Offline,Average,Average,Yes,1,Low,7.1,C,65.18,2-4,Very High (7-10),3.239,0.6866666666666656,62.650000000000006,-6.799999999999997,1.7095081967213117
STU00051,24,Male,9.1,80.2,8.1,3.9,2.6,3.5,No,Hybrid,Poor,Excellent,No,1,Low,2.8,A,86.73,8-12,Low (1-3),7.2982000000000005,-3.9000000000000004,69.38,53.1,8.847222222222221
STU00052,17,Female,5.47,86.7,7.8,5.1,2.1,3.38,No,Hybrid,Good,Average,Yes,2,High,1.9,A,97.86,4-6,Low (1-3),4.74249,-3.7266666666666666,79.09,46.8,5.9640645161290315
STU00053,20,Female,5.2,94.7,6.5,4.5,5.1,2.28,No,Offline,Average,Average,No,0,High,2.2,A,92.57,4-6,Low (1-3),4.9244,-0.626666666666666,53.480000000000004,35.9,1.9436065573770493
STU00054,21,Male,5.51,70.1,5.4,4.7,3.2,2.76,No,Offline,Average,Average,No,2,Middle,2.0,A,92.58,4-6,Low (1-3),3.8625099999999994,-2.2199999999999993,64.57,24.5,3.620857142857142
STU00055,22,Male,4.74,99.3,6.2,3.7,2.3,3.11,No,Offline,Good,Good,Yes,3,High,2.1,A,94.74,4-6,Low (1-3),4.7068200000000004,-3.519999999999999,91.94,37.2,4.46709090909091
STU00056,24,Male,4.38,90.7,5.8,5.1,3.8,3.29,Yes,Online,Poor,Average,Yes,0,Middle,6.4,B,74.14,4-6,High (5-7),3.97266,-1.4799999999999995,57.42,13.299999999999997,3.002125
STU00057,20,Female,2.13,68.5,7.5,4.9,3.2,1.95,No,Hybrid,Average,Good,No,1,High,6.7,C,61.87,2-4,High (5-7),1.45905,1.0333333333333337,43.790000000000006,30.4,0.9889285714285713
STU00058,18,Male,6.0,78.6,6.9,5.4,3.3,3.37,No,Hybrid,Poor,Poor,No,2,Low,1.2,A,94.29,4-6,Low (1-3),4.715999999999999,-3.44,69.44,38.4,4.702325581395349
STU00059,22,Female,4.81,79.9,9.0,7.9,3.5,3.14,No,Hybrid,Good,Poor,No,3,Middle,3.5,A,85.59,4-6,Moderate (3-5),3.84319,-1.3133333333333335,76.39000000000001,40.0,3.356311111111111
STU00060,22,Male,7.45,91.6,6.0,6.7,1.8,3.61,No,Online,Average,Poor,No,2,Middle,2.3,A,89.93,6-8,Low (1-3),6.824199999999999,-3.6199999999999997,78.99000000000001,19.6,9.605178571428572
STU00061,20,Female,4.26,70.3,5.3,5.7,4.7,2.9,No,Online,Good,Good,Yes,2,Middle,6.0,B,78.78,4-6,High (5-7),2.9947799999999996,-0.3333333333333339,68.9,6.5,2.167368421052631
STU00062,23,Male,1.19,97.0,9.4,5.7,0.5,3.36,Yes,Online,Average,Excellent,No,2,Middle,3.1,A,93.34,0-2,Moderate (3-5),1.1542999999999999,-3.6199999999999997,62.370000000000005,56.2,2.6656
STU00063,19,Female,4.8,69.2,6.1,6.5,3.1,2.91,No,Online,Poor,Excellent,No,2,Middle,3.1,C,69.34,4-6,Moderate (3-5),3.3216,-1.586666666666667,62.080000000000005,19.2,3.4068292682926833
STU00064,23,Male,8.4,76.3,5.2,7.3,5.8,3.0,Yes,Online,Average,Average,No,2,Middle,4.2,A,90.55,8-12,Moderate (3-5),6.4092,-0.2333333333333334,75.72,2.8999999999999986,3.705882352941177
STU00065,20,Female,4.23,73.8,7.7,7.3,4.7,2.89,Yes,Offline,Average,Good,No,0,Low,6.2,B,70.49,4-6,High (5-7),3.1217400000000004,0.2866666666666662,42.21,21.9,2.144684210526316
STU00066,22,Male,3.22,67.6,8.8,5.3,5.4,2.69,Yes,Hybrid,Average,Good,No,0,Middle,4.8,C,56.54,2-4,Moderate (3-5),2.17672,-0.21333333333333293,36.7,47.1,1.35340625
STU00067,24,Female,2.89,68.7,7.1,2.5,0.9,2.57,Yes,Online,Average,Average,No,1,Middle,5.0,C,68.52,2-4,Moderate (3-5),1.9854300000000003,-2.3399999999999994,46.150000000000006,43.5,3.909105263157895
STU00068,18,Female,2.9,74.1,7.5,2.3,3.3,3.13,No,Hybrid,Average,Good,Yes,1,High,3.6,B,76.31,2-4,Moderate (3-5),2.1489,-3.1933333333333334,56.34,52.7,2.1109302325581396
STU00069,24,Male,4.4,77.3,7.9,5.0,6.7,2.68,Yes,Offline,Average,Good,Yes,1,Middle,6.3,B,83.35,4-6,High (5-7),3.4012000000000002,0.6399999999999997,62.120000000000005,35.1,1.5314285714285716
STU00070,24,Female,2.64,73.8,6.2,3.6,4.0,3.16,Yes,Online,Poor,Average,No,1,Low,4.4,B,74.93,2-4,Moderate (3-5),1.94832,-2.3200000000000003,47.44,30.799999999999997,1.6684800000000002
STU00071,22,Female,8.0,70.7,7.1,5.9,1.5,3.04,Yes,Offline,Good,Poor,No,2,Middle,3.2,A,85.95,6-8,Moderate (3-5),5.656000000000001,-2.5466666666666664,72.28,31.9,9.728
STU00072,23,Male,4.43,54.2,8.0,8.0,3.3,2.41,No,Hybrid,Average,Average,No,1,Low,5.5,C,66.92,4-6,High (5-7),2.40106,0.7800000000000002,44.97,23.5,2.482860465116279
STU00073,18,Male,5.66,77.2,6.5,6.3,4.6,2.58,Yes,Offline,Poor,Good,No,2,Middle,5.3,C,66.32,4-6,High (5-7),4.3695200000000005,0.23999999999999932,67.86,17.6,2.6076428571428574
STU00074,17,Male,7.88,98.6,9.3,5.0,3.0,3.27,No,Online,Average,Poor,Yes,2,Low,5.1,A,89.63,6-8,High (5-7),7.76968,-2.173333333333334,91.08,52.7,6.4418999999999995
STU00075,21,Female,8.01,96.4,5.4,2.7,4.4,2.02,Yes,Hybrid,Good,Average,No,0,Middle,5.8,A,89.85,8-12,High (5-7),7.721640000000001,0.2599999999999998,62.59,23.1,2.996333333333333
STU00076,22,Female,4.57,91.5,5.8,5.7,3.2,3.59,No,Hybrid,Poor,Average,Yes,2,Low,5.6,A,92.87,4-6,High (5-7),4.1815500000000005,-2.3466666666666667,78.31,12.700000000000003,3.906261904761905
STU00077,20,Male,5.66,76.0,6.5,2.1,6.9,2.53,No,Offline,Average,Poor,Yes,1,Low,3.0,A,95.87,4-6,Low (1-3),4.3016000000000005,-1.0599999999999996,65.38000000000001,45.5,1.812632911392405
STU00078,17,Female,6.47,85.1,6.1,5.7,4.6,2.44,No,Online,Good,Average,Yes,2,High,4.9,B,83.67,6-8,Moderate (3-5),5.50597,0.18666666666666742,81.45,17.799999999999997,2.8190714285714287
STU00079,21,Female,4.61,74.6,6.6,5.8,3.8,3.66,No,Hybrid,Average,Excellent,No,0,High,6.9,B,80.52,4-6,High (5-7),3.43906,-1.8200000000000003,43.67,16.299999999999997,3.5151250000000007
STU00080,20,Female,1.44,75.3,7.8,7.5,5.1,1.94,No,Online,Poor,Poor,Yes,0,Middle,9.049999999999999,D,49.14875000000002,0-2,Very High (7-10),1.08432,3.336666666666666,42.440000000000005,13.350000000000001,0.4579672131147541
STU00081,24,Female,6.31,81.5,9.2,10.0,3.8,2.88,Yes,Hybrid,Average,Good,No,1,Low,3.5,B,77.38,6-8,Moderate (3-5),5.14265,0.006666666666666821,61.53,31.5,3.786
STU00082,19,Female,6.79,90.1,5.2,5.5,4.2,3.02,Yes,Online,Good,Average,Yes,4,High,4.6,A,94.95,6-8,Moderate (3-5),6.117789999999999,-1.2733333333333334,104.41,10.700000000000001,3.943423076923077
STU00083,20,Female,5.83,75.0,6.1,10.0,2.5,2.84,No,Online,Average,Good,No,0,High,5.7,B,74.03,4-6,High (5-7),4.3725000000000005,0.3866666666666667,47.49,-6.100000000000001,4.7306285714285705
STU00084,18,Male,3.15,73.4,5.3,7.1,4.9,2.77,No,Online,Average,Good,No,0,High,7.5,C,58.58,2-4,Very High (7-10),2.3121,0.96,38.81,-5.0,1.4788983050847457
STU00085,18,Female,4.61,79.6,7.1,3.8,5.6,3.08,No,Offline,Average,Average,No,3,Middle,5.6,A,93.47,4-6,High (5-7),3.6695599999999997,-1.160000000000001,75.67,35.2,2.151333333333334
STU00086,19,Female,3.82,65.2,6.2,5.5,4.7,2.27,No,Offline,Poor,Excellent,Yes,2,Low,4.5,C,58.33,2-4,Moderate (3-5),2.49064,0.35999999999999943,65.53999999999999,21.0,1.5212982456140351
STU00087,17,Male,4.4,88.5,6.0,5.9,1.9,2.77,Yes,Offline,Average,Good,Yes,2,Low,3.9,B,75.92,4-6,Moderate (3-5),3.8940000000000006,-1.6399999999999997,76.6,18.8,4.2027586206896554
STU00088,21,Female,7.59,90.1,6.4,2.7,3.1,2.41,Yes,Online,Average,Excellent,No,4,High,4.8,A,98.29,6-8,Moderate (3-5),6.838589999999999,-1.286666666666667,98.80999999999999,36.1,4.461439024390245
STU00089,20,Female,8.06,91.7,7.4,4.9,3.1,2.61,No,Online,Average,Good,Yes,3,High,3.9,A,94.5,8-12,Moderate (3-5),7.391020000000001,-1.253333333333333,98.86000000000001,37.8,5.130878048780488
STU00090,18,Female,6.34,87.7,6.0,5.3,4.6,2.44,Yes,Hybrid,Average,Excellent,No,0,Middle,1.6,B,76.2,6-8,Low (1-3),5.56018,-1.0466666666666664,54.10000000000001,28.7,2.7624285714285715
STU00091,17,Male,6.1,74.1,7.0,8.1,4.1,3.33,Yes,Hybrid,Good,Good,No,3,Middle,1.0,A,98.22,6-8,Low (1-3),4.520099999999999,-2.2600000000000007,77.94,26.5,3.982941176470588
STU00092,19,Male,6.35,77.6,5.5,2.6,4.4,3.3,No,Offline,Poor,Excellent,Yes,3,Middle,4.4,A,98.31,6-8,Moderate (3-5),4.927599999999999,-2.7999999999999994,88.08999999999999,28.799999999999997,3.880555555555555
STU00093,23,Female,4.98,70.7,9.0,5.8,3.2,2.86,No,Online,Average,Good,Yes,1,High,5.8,B,82.55,4-6,High (5-7),3.5208600000000008,-0.7866666666666662,61.22,43.6,3.391142857142857
STU00094,22,Female,4.85,83.1,6.9,2.6,3.0,3.09,No,Offline,Average,Good,No,1,Middle,1.9,A,90.74,4-6,Low (1-3),4.030349999999999,-3.6799999999999997,57.79,50.3,3.7466249999999994
STU00095,23,Male,3.65,100.0,8.7,4.4,4.9,3.43,No,Online,Poor,Good,No,1,Middle,5.5,A,92.04,2-4,High (5-7),3.65,-1.9266666666666667,60.95,48.5,2.121949152542373
STU00096,23,Female,4.89,70.2,9.3,7.8,4.0,3.45,Yes,Hybrid,Average,Excellent,Yes,2,Low,4.3,B,80.66,4-6,Moderate (3-5),3.43278,-1.5333333333333332,70.75,41.1,3.3741
STU00097,18,Female,9.52,86.5,7.2,4.6,4.1,2.67,Yes,Online,Good,Excellent,No,2,Middle,2.7,A,86.78,8-12,Low (1-3),8.2348,-1.5400000000000005,83.16,40.9,4.984
STU00098,24,Male,6.74,93.7,5.2,5.5,2.1,3.12,Yes,Offline,Average,Average,No,2,Middle,2.8,A,95.63,6-8,Low (1-3),6.31538,-2.7733333333333334,77.7,16.1,6.783483870967742
STU00099,24,Male,4.32,69.6,7.5,5.8,4.7,3.7,No,Online,Average,Good,No,1,High,2.5,A,85.66,4-6,Low (1-3),3.00672,-3.0666666666666673,50.800000000000004,38.5,2.8042105263157895
STU00100,19,Male,4.06,100.0,5.8,2.8,2.9,3.06,Yes,Online,Average,Average,Yes,2,Low,2.5,A,98.14,4-6,Low (1-3),4.06,-3.386666666666667,80.18,36.5,3.1855384615384614
STU00101,20,Female,3.27,73.4,7.9,6.4,3.6,3.17,Yes,Online,Average,Good,Yes,0,Low,3.1,C,61.97,2-4,Moderate (3-5),2.40018,-1.9733333333333336,47.17,37.7,2.2534565217391305
STU00102,24,Male,5.75,79.0,6.1,6.3,2.9,2.39,No,Hybrid,Good,Average,No,2,Middle,4.1,A,87.46,4-6,Moderate (3-5),4.5425,-0.34666666666666757,68.85,17.200000000000003,3.523717948717949
STU00103,23,Male,5.78,84.2,7.7,4.5,4.5,3.19,No,Hybrid,Poor,Average,Yes,1,Middle,4.5,A,96.34,4-6,Moderate (3-5),4.866760000000001,-1.88,69.02,41.0,3.3524000000000003
STU00104,24,Male,2.11,89.3,7.5,8.4,3.4,2.26,No,Offline,Poor,Excellent,Yes,0,Middle,5.5,Fail,49.14875000000002,2-4,High (5-7),1.8842299999999998,1.246666666666667,50.05,16.5,1.083772727272727
STU00105,23,Male,5.97,87.9,5.2,9.5,5.7,3.5,No,Online,Average,Average,No,1,Middle,4.2,A,88.08,4-6,Moderate (3-5),5.24763,-0.5333333333333341,63.07000000000001,-8.100000000000001,3.1186567164179104
STU00106,21,Male,3.86,77.6,8.8,7.7,4.9,3.78,No,Hybrid,Poor,Good,Yes,1,High,3.1,B,84.99,2-4,Moderate (3-5),2.9953599999999994,-2.326666666666666,60.62,40.2,2.4730169491525418
STU00107,18,Male,7.85,73.5,10.0,6.4,4.2,3.31,No,Online,Good,Good,Yes,1,High,4.8,A,93.36,6-8,Moderate (3-5),5.769749999999999,-1.4866666666666672,70.95,53.6,4.996826923076923
STU00108,18,Female,5.31,56.8,5.9,2.7,1.4,2.97,No,Hybrid,Good,Average,Yes,1,Middle,1.0,A,93.38,4-6,Low (1-3),3.0160799999999997,-4.24,56.65,42.5,6.571125
STU00109,20,Female,8.44,75.0,6.9,3.2,4.7,2.15,No,Offline,Average,Average,No,2,Middle,4.7,A,96.13,8-12,Moderate (3-5),6.33,-0.09999999999999964,75.32,38.9,3.183508771929824
STU00110,24,Male,4.08,92.6,5.9,6.2,3.3,3.77,Yes,Hybrid,Poor,Good,Yes,2,Low,1.0,A,94.94,4-6,Low (1-3),3.7780799999999997,-4.04,77.27999999999999,25.0,3.577116279069768
STU00111,24,Male,4.42,72.2,7.1,6.1,3.4,2.14,No,Online,Average,Average,No,1,High,4.9,B,72.11,4-6,Moderate (3-5),3.1912399999999996,0.5199999999999996,52.14,25.799999999999997,2.1497272727272727
STU00112,22,Non-Binary,5.6,86.1,7.1,7.8,4.6,2.4,No,Online,Average,Excellent,No,2,High,3.6,B,79.61,4-6,Moderate (3-5),4.821599999999999,0.5333333333333332,71.24,21.2,2.4
STU00113,17,Male,7.11,87.1,7.5,7.3,5.4,3.31,No,Hybrid,Good,Excellent,No,2,Middle,2.9,A,98.11,6-8,Low (1-3),6.192810000000001,-1.42,76.17,29.8,3.677203125
STU00114,21,Male,6.13,81.7,8.0,7.0,4.5,2.25,Yes,Offline,Average,Average,Yes,3,Low,2.1,B,84.61,6-8,Low (1-3),5.00821,0.033333333333333215,89.07000000000001,38.7,2.507727272727273
STU00115,18,Male,2.53,74.5,7.8,5.0,4.2,4.0,No,Offline,Average,Average,Yes,2,Low,5.9,A,98.87,2-4,High (5-7),1.88485,-2.966666666666666,65.39,35.3,1.946153846153846
STU00116,21,Male,5.37,74.5,5.9,6.5,5.6,3.68,Yes,Offline,Average,Good,No,2,Middle,2.1,A,90.19,4-6,Low (1-3),4.00065,-2.626666666666667,65.91,20.2,2.9941818181818185
STU00117,18,Female,5.04,79.6,4.6,5.6,4.3,3.51,No,Hybrid,Good,Good,Yes,2,Low,1.5,A,99.62,4-6,Low (1-3),4.011839999999999,-3.22,74.96000000000001,13.5,3.3378113207547173
STU00118,21,Male,4.14,62.5,6.9,5.5,3.0,2.95,Yes,Hybrid,Good,Average,No,1,Middle,8.0,C,69.64,4-6,Very High (7-10),2.5875,-0.40000000000000036,47.42,17.5,3.05325
STU00119,19,Female,3.7,94.0,6.9,5.8,4.7,2.39,No,Online,Average,Poor,No,1,Middle,5.3,B,78.13,2-4,High (5-7),3.4779999999999998,0.48666666666666636,58.7,24.1,1.55140350877193
STU00120,23,Male,8.5,69.6,7.9,6.7,3.9,2.39,Yes,Online,Poor,Good,No,2,Middle,2.2,A,88.22,8-12,Low (1-3),5.9159999999999995,-0.5133333333333336,73.34,38.9,4.145918367346939
STU00121,18,Male,4.22,73.8,8.8,8.7,3.2,2.82,Yes,Offline,Average,Excellent,Yes,1,High,5.3,C,67.7,4-6,High (5-7),3.1143599999999996,0.09333333333333371,60.17999999999999,28.6,2.833428571428571
